Q.1 What age bracket are you in?,Q.2 What Faculty are you from?,Q.3 What year of study are you in?,Q.4 We are waiting for confirmation from the government – it is possible that more students will be allowed to return to campus at some point in April. How comfortable are you with a potential return to Campus? ,Q.5 Please tell us more about your answer to the previous question
30-39,The Business School/Faculty of Management,Post-Graduate (non-doctorate),"Comfortable, as long as everyone respects physical distancing rules, etc.",
Under 21,Faculty of Media and Communication,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back",Because it do a production course i really wanna get on campus and use equipment
Under 21,The Business School/Faculty of Management,1st Year (including Foundation year),"Comfortable, as long as everyone respects physical distancing rules, etc.","I struggle with learning from home, so returning back to campus will help put me in the right mindset for studying. That said, I am still concerned because not everyone prioritizes safety."
21-24,Faculty of Health and Social Sciences,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back","I am really looking forward to being able to go onto campus and finally see my peers in person however, it is a shame that I am most likely to be in placement for the rest of the year so may not get as much chance as other students still."
21-24,Faculty of Science and Technology,3rd Year or Final Year,"Comfortable, as long as everyone respects physical distancing rules, etc.",
Under 21,Faculty of Science and Technology,1st Year (including Foundation year),"Comfortable, as long as everyone respects physical distancing rules, etc.",As long as everyone is safe 
Under 21,Faculty of Science and Technology,1st Year (including Foundation year),"Somewhat comfortable, but I have some concerns","I don't have accommodation in bournemouth and would have to take public transport every day, im not really comfortable with that. I also don't really want to go back on campus this year until I am vaccinated. I also don't think there is much point as we don't have that many weeks left."
Under 21,The Business School/Faculty of Management,1st Year (including Foundation year),"Comfortable, as long as everyone respects physical distancing rules, etc.",I’m looking forward to getting back into a routine rather than doing all my work from home.
21-24,The Business School/Faculty of Management,Post-Graduate (non-doctorate),"Comfortable, as long as everyone respects physical distancing rules, etc.",
Under 21,Faculty of Science and Technology,1st Year (including Foundation year),"Somewhat comfortable, but I have some concerns",I am worried as I see plenty of student around halls not wearing masks and not social distancing or sticking to guidelines so I believe that it won’t happen on campus either 
Under 21,Faculty of Science and Technology,1st Year (including Foundation year),"Comfortable, as long as everyone respects physical distancing rules, etc.",I am very much looking forward to being able to attend lab sessions and do practical work as long as my fellow students follow social distancing 
Under 21,Faculty of Health and Social Sciences,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back",As a practical course I feel the need for face to face learning 
Under 21,The Business School/Faculty of Management,1st Year (including Foundation year),"Comfortable, as long as everyone respects physical distancing rules, etc.",
25-29,Faculty of Science and Technology,Post-Graduate (non-doctorate),"Comfortable, as long as everyone respects physical distancing rules, etc.",
25-29,Faculty of Media and Communication,Post-Graduate (non-doctorate),"Very comfortable, I can’t wait to get back","I don't think it will be worth it to complete all courses online. If this happens, I am definitely not going to be pleased or feel i get the value for my school fees."
Under 21,Faculty of Science and Technology,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back","I am looking forward to going on campus as I’ve only been a handful of times as this is my first year. I’m slightly worried about finding my way around but I’m really excited to meet more of my course mates and my lecturers, and also to be able to get out of my accommodation! "
Under 21,Faculty of Media and Communication,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back",
Under 21,Faculty of Science and Technology,2nd Year,"Comfortable, as long as everyone respects physical distancing rules, etc.","I dont want covid, simple as that"
21-24,Faculty of Media and Communication,2nd Year,"Comfortable, as long as everyone respects physical distancing rules, etc.",I trust the correct precautions will be put in place
40-49,Faculty of Science and Technology,2nd Year,"Somewhat comfortable, but I have some concerns","I'm looking forward to working in small groups again,  but I'm somewhat concerned at the idea of sitting in a busy lecture theatre,  especially given that I'm a mature student. "
21-24,Faculty of Science and Technology,3rd Year or Final Year,"Somewhat comfortable, but I have some concerns",I’m concerned about moving down that people won’t keep their distance that there is the potential for another spike in cases.
21-24,Faculty of Science and Technology,3rd Year or Final Year,"Somewhat comfortable, but I have some concerns",I don’t think it would make sense to return to campus as due to being a third year there is very little of my course left to complete.
21-24,The Business School/Faculty of Management,3rd Year or Final Year,"Somewhat comfortable, but I have some concerns","It is unlikely that I will return to campus at all due to it being my final year, my exams have already been confirmed as virtual "
Under 21,Faculty of Science and Technology,2nd Year,"Very comfortable, I can’t wait to get back",
Under 21,Faculty of Health and Social Sciences,2nd Year,"Comfortable, as long as everyone respects physical distancing rules, etc.",
21-24,The Business School/Faculty of Management,3rd Year or Final Year,"Very comfortable, I can’t wait to get back",I feel more motivated when studying on campus and all resources are available to me as well. 
21-24,Faculty of Media and Communication,3rd Year or Final Year,"Somewhat comfortable, but I have some concerns",Young people haven’t received vaccine by then 
Under 21,Faculty of Science and Technology,3rd Year or Final Year,"Somewhat comfortable, but I have some concerns",Im more used to online study now and it seems like it would be more effort to return to uni with social distancing measures and regular tests etc than continuing online 
21-24,Faculty of Media and Communication,3rd Year or Final Year,"Not at all comfortable, I have serious concerns","I think at this point it is not practical to return this semester when we've gotten used to studying from home. It's best to finish the year and return again next academic year. For many of us, we aren't even in Bournemouth or have planned our studying around caring responsibilities that would not be able to be adjusted to a return to university. "
21-24,Faculty of Media and Communication,2nd Year,"Very comfortable, I can’t wait to get back",I am comfortable 
25-29,The Business School/Faculty of Management,Post-Graduate (non-doctorate),"Very comfortable, I can’t wait to get back","Because of the loss of education most of experience in 2020 pandemic crisis, it feels like the money spent on education was given for no reason and there has been hardly any experience gained in the uni time. My. course was a 2-years MSc and it's now about to finish, but I haven't been able to spend any time at the campus. So, definitely a BIG YES to get back to campus life and study!"
30-39,Faculty of Science and Technology,Post-Graduate (non-doctorate),"Comfortable, as long as everyone respects physical distancing rules, etc.","Since everyone has not been vaccinated yet, we still need to follow rules."
Under 21,Faculty of Science and Technology,1st Year (including Foundation year),"Comfortable, as long as everyone respects physical distancing rules, etc.",Just ready to study face to face finally but also want to be safe
Under 21,Faculty of Science and Technology,3rd Year or Final Year,"Somewhat comfortable, but I have some concerns",I’m concerned social distancing won’t be correctly carried out and the support for online/distance learning will become much poorer. 
21-24,Faculty of Media and Communication,1st Year (including Foundation year),"Not at all comfortable, I have serious concerns","Is better for my to stay in my country, im very like online classes and in this semester comeback to england and everything was be so stressful for me becouse i must start looking for flat etc. I'm also scary about my health, so the best option for me is comback when everyone get vaccinated."
21-24,Faculty of Media and Communication,Post-Graduate (non-doctorate),"Very comfortable, I can’t wait to get back",I miss human contact a lot and online uni isn't very stimulating. I'm not very concerned about safety precautions. 
21-24,The Business School/Faculty of Management,3rd Year or Final Year,"Very comfortable, I can’t wait to get back","I think there is extremely little, if any, danger related to going back into campus even if only for seminars. Doing a sport course, I have massively missed out on any practical aspect in the most important year of my course (final year). As there is an absence of a no detriment policy, I would like to be able to go in, to fulfil the practical aspects of my course which I believe are definitely possible now."
21-24,The Business School/Faculty of Management,3rd Year or Final Year,"Somewhat comfortable, but I have some concerns",
21-24,Faculty of Science and Technology,PhD or equivalent,"Very comfortable, I can’t wait to get back","Hoping that after a year people will know what's acceptable and what's not, so will be good to just get back "
Under 21,Faculty of Science and Technology,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back",I miss people and I miss going in for classes :(
21-24,Faculty of Science and Technology,3rd Year or Final Year,"Comfortable, as long as everyone respects physical distancing rules, etc.","Should all necessary precautions be taken and strictly followed I have few concerns about returning, however i do not feel that events such as exams should go back to the large hall format and should remain as take home exams to avoid unnecessarily large groups mixing "
30-39,Faculty of Science and Technology,Post-Graduate (non-doctorate),"Somewhat comfortable, but I have some concerns","I worry people won't follow distancing rules, especially as I am clinically extremely vulnerable. I also forget my mask a lot as I don't go outside much."
21-24,Faculty of Media and Communication,3rd Year or Final Year,"Very comfortable, I can’t wait to get back",I want to be able to go back to uni in my final year and socialise with my coursemates
21-24,The Business School/Faculty of Management,3rd Year or Final Year,"Very comfortable, I can’t wait to get back",
25-29,The Business School/Faculty of Management,Post-Graduate (non-doctorate),"Comfortable, as long as everyone respects physical distancing rules, etc.",
25-29,Faculty of Science and Technology,Post-Graduate (non-doctorate),"Somewhat comfortable, but I have some concerns","We were planning to do some field trips which I'm really hoping might still be able to go ahead. But otherwise, an online format has worked well for my programme so I would rather it stayed this way."
25-29,The Business School/Faculty of Management,Post-Graduate (non-doctorate),"Very comfortable, I can’t wait to get back","Since I am an international student and also my course is just for 16 months, coming back to campus will benefit me to build my network and to get an international exposure along with the advantages of interacting face to face with the faculties"
21-24,The Business School/Faculty of Management,3rd Year or Final Year,"Very comfortable, I can’t wait to get back",I'm looking forward to getting back to socialising with my peers and being surrounded by my class mates who I haven't seen for over a year 
30-39,Faculty of Science and Technology,Placement Year,"Very comfortable, I can’t wait to get back",
21-24,The Business School/Faculty of Management,2nd Year,"Very comfortable, I can’t wait to get back",
Under 21,The Business School/Faculty of Management,2nd Year,"Not at all comfortable, I have serious concerns",I am absolutely NOT comfortable to go back this Academic year.
25-29,The Business School/Faculty of Management,PhD or equivalent,"Somewhat comfortable, but I have some concerns",some people seem to not follow the guideline about wearing mask
21-24,Faculty of Science and Technology,Post-Graduate (non-doctorate),"Very comfortable, I can’t wait to get back",yes please!
Under 21,Faculty of Media and Communication,1st Year (including Foundation year),"Not at all comfortable, I have serious concerns",
21-24,Faculty of Media and Communication,3rd Year or Final Year,"Very comfortable, I can’t wait to get back",I can't wait to get back on Campus and the Radio Studio in SUBU can reopen so I can finish the year on a high doing what I love!
21-24,Faculty of Media and Communication,Post-Graduate (non-doctorate),"Comfortable, as long as everyone respects physical distancing rules, etc.",I really want to be able to return so that I can actually experience studying at BU fully before my course is over. 
21-24,Faculty of Science and Technology,3rd Year or Final Year,"Very comfortable, I can’t wait to get back",We are paying a lot of tuition money and have not had access to the campus and labs for a full year - zoom lectures are not the same (I am aware govt. guidelines need to be kept of course)
Under 21,Faculty of Media and Communication,1st Year (including Foundation year),"Comfortable, as long as everyone respects physical distancing rules, etc.",I’d be comfortable with it as long as there’s rules in place 
21-24,The Business School/Faculty of Management,Placement Year,"Comfortable, as long as everyone respects physical distancing rules, etc.",
40-49,Faculty of Health and Social Sciences,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back",It’s hard to study online especially adult nursing 
Under 21,Faculty of Health and Social Sciences,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back","it horrible online, in person lecturesbwould be a huge relief. id be more motivated, meet people, and would do better work"
21-24,The Business School/Faculty of Management,3rd Year or Final Year,"Not at all comfortable, I have serious concerns","With the current state of the pandemic, even with the vaccination roll out, I find the idea of returning to campus to be quite daunting. Since the entire of this year has been done so remotely I'm of the opinion that it should continue to do so. Also I believe the worry of being back on campus would result in my concentration dipping and my grades being negatively affected "
Under 21,Faculty of Media and Communication,1st Year (including Foundation year),"Comfortable, as long as everyone respects physical distancing rules, etc.",
21-24,The Business School/Faculty of Management,3rd Year or Final Year,"Comfortable, as long as everyone respects physical distancing rules, etc.",I think after the poor online teaching and complete lack of support anything to get us back on to campus will be better than the academic year so far. Especially as so many people are in their final year after a placement so haven't been able to access campus fully in nearly two years.
Under 21,Faculty of Health and Social Sciences,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back",I would be over the moon happy to be able to come back to face to face sessions. I was waiting for it from the beginning if the uni
21-24,Faculty of Media and Communication,3rd Year or Final Year,"Comfortable, as long as everyone respects physical distancing rules, etc.","Studying from home has been incredibly difficult and unmotivating. Having had to complete my whole dissertation online has been tough and I think it is beneficial to other students for them to be back in uni, working, seeing mates and meeting new people. "
Under 21,Faculty of Media and Communication,1st Year (including Foundation year),"Somewhat comfortable, but I have some concerns",I have never been on campus. I would not know what to do or anything. I don't know anyone 
21-24,Faculty of Media and Communication,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back","I havent met anyone on the course and its been an incredibly lonely year, i want to meet and socialise with others on my course as well as societies and parties. "
Under 21,Faculty of Science and Technology,2nd Year,"Very comfortable, I can’t wait to get back",
40-49,Faculty of Health and Social Sciences,1st Year (including Foundation year),"Not at all comfortable, I have serious concerns",I don’t believe risks have reduced sufficiently for this 
Under 21,The Business School/Faculty of Management,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back",I'm looking forward to going back.
Under 21,Faculty of Health and Social Sciences,1st Year (including Foundation year),"Comfortable, as long as everyone respects physical distancing rules, etc.",worry that its not sustainable and don't want to return to campus to be told we have to leave again. 
Under 21,Faculty of Media and Communication,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back",Can’t wait!
25-29,The Business School/Faculty of Management,Post-Graduate (non-doctorate),"Very comfortable, I can’t wait to get back",
Under 21,Faculty of Health and Social Sciences,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back",Never been to campus before! Only for the campus doctors once! Really looking forward to fulfilling my uni life Covid free! 
Under 21,Faculty of Science and Technology,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back",I haven’t had a chance to be on campus at all since I started here. I really want to actually meet my lecturers and the others on my course. 
Under 21,The Business School/Faculty of Management,2nd Year,"Very comfortable, I can’t wait to get back",
Under 21,Faculty of Health and Social Sciences,1st Year (including Foundation year),"Comfortable, as long as everyone respects physical distancing rules, etc.",
Under 21,Faculty of Media and Communication,3rd Year or Final Year,"Somewhat comfortable, but I have some concerns","Being back on campus, away from family in such a turbulent time is incredibly stressful. Being concerned for family health and my own health and being away from them. "
Under 21,Faculty of Media and Communication,1st Year (including Foundation year),"Somewhat comfortable, but I have some concerns","I know that a lot of people from uni are still mixing and partying with as many people as possible, and the majority of these people would also be in my seminars so i wouldn't necessarily be comfortable mixing with people in seminars whom i know socialize with tens of different people every day. Even with social distancing i would still be too worried."
Under 21,Faculty of Media and Communication,3rd Year or Final Year,"Somewhat comfortable, but I have some concerns","Being back on campus, away from family in such a turbulent time is incredibly stressful. Being concerned for family health and my own health and being away from them. "
Under 21,The Business School/Faculty of Management,2nd Year,"Comfortable, as long as everyone respects physical distancing rules, etc.",
Under 21,Faculty of Media and Communication,2nd Year,"Very comfortable, I can’t wait to get back",
Under 21,Faculty of Health and Social Sciences,1st Year (including Foundation year),"Comfortable, as long as everyone respects physical distancing rules, etc.",
Under 21,Faculty of Health and Social Sciences,1st Year (including Foundation year),"Comfortable, as long as everyone respects physical distancing rules, etc.",
25-29,Faculty of Health and Social Sciences,3rd Year or Final Year,"Comfortable, as long as everyone respects physical distancing rules, etc.","I feel comfortable as long as other students adhere to to guidelines. However I feel the university having badly let us down through covid, needs to make sure they have sufficient staff to uphold policies."
21-24,Faculty of Media and Communication,3rd Year or Final Year,"Comfortable, as long as everyone respects physical distancing rules, etc.","Concerns people won’t respect the rules, they weren’t kept to when campus was previously open from September."
Under 21,Faculty of Science and Technology,2nd Year,"Not at all comfortable, I have serious concerns",It can spread with people coming from all over the UK and with parties in uni accomadations
Under 21,Faculty of Science and Technology,2nd Year,"Very comfortable, I can’t wait to get back","I feel more motivated to complete work, which helps me stay on top of lectures, when I am going onto campus. "
21-24,Faculty of Health and Social Sciences,3rd Year or Final Year,"Somewhat comfortable, but I have some concerns",As a final year student I no longer see the point in a return to campus 
Under 21,Faculty of Health and Social Sciences,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back",It has been a shame that we haven't had the full university experience and it is within our very rights to return ASAP
21-24,The Business School/Faculty of Management,Post-Graduate (non-doctorate),"Comfortable, as long as everyone respects physical distancing rules, etc.",I already go to the campus for the library and would definitely prefer my learning experience to be back on campus. Just people need to be respectful of social distancing as it’s still important while everyone gets vaccinated.
21-24,Faculty of Science and Technology,1st Year (including Foundation year),"Comfortable, as long as everyone respects physical distancing rules, etc.",
21-24,Faculty of Science and Technology,2nd Year,"Somewhat comfortable, but I have some concerns",Worried about coming back to campus and mixing with others during lectures 
21-24,Faculty of Science and Technology,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back",I'm really looking forward to meet everyone and start my studies offline.
25-29,The Business School/Faculty of Management,PhD or equivalent,"Somewhat comfortable, but I have some concerns",
21-24,Faculty of Media and Communication,Post-Graduate (non-doctorate),"Somewhat comfortable, but I have some concerns",Concerned about the Covid-19 situation 
Under 21,The Business School/Faculty of Management,2nd Year,"Comfortable, as long as everyone respects physical distancing rules, etc.",
Under 21,Faculty of Media and Communication,2nd Year,"Somewhat comfortable, but I have some concerns","I am not from the UK and I would rather stay in my country and work like we did this year on my assignments then go to Bournemouth and be locked in my tiny room with only my tired laptop, with the labs closed, alone and far from home. "
21-24,Faculty of Science and Technology,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back",I just want to experience uni the way I'm supposed to
21-24,Faculty of Health and Social Sciences,2nd Year,"Comfortable, as long as everyone respects physical distancing rules, etc.",I’m eager to return to the classroom teaching environment and believe that’s the majorities opinion so I would hope everyone would respect the rules in place to allow that to happen and continued doing so
Under 21,Faculty of Media and Communication,1st Year (including Foundation year),"Somewhat comfortable, but I have some concerns",I'm comfortable with the idea going back but worried about the transition of this. Going when new to university in general is one thing and you usually are transitioned in during the first week or so however i'm worried that when we go back when restrictions ease we wont be transitioned into life on campus and in person teaching. 
21-24,The Business School/Faculty of Management,3rd Year or Final Year,"Very comfortable, I can’t wait to get back",in person teaching is so much better than online
Under 21,Faculty of Science and Technology,2nd Year,"Comfortable, as long as everyone respects physical distancing rules, etc.",Been struggling to focus on work doing my course online so having some in-person teaching would be great if we can go back after easter.
Under 21,Faculty of Science and Technology,1st Year (including Foundation year),"Somewhat comfortable, but I have some concerns","I wouldnt want to go in campus for all my classes, just to be safe"
21-24,Faculty of Science and Technology,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back",
Under 21,Faculty of Media and Communication,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back","I feel I have missed out on a lot of university experience, especially as a first year who was not able to meet any classmates or have a freshers week."
21-24,Faculty of Health and Social Sciences,1st Year (including Foundation year),"Comfortable, as long as everyone respects physical distancing rules, etc.",With social distancing i would feel more comfortable. Cleanliness is important
Under 21,Faculty of Health and Social Sciences,1st Year (including Foundation year),"Comfortable, as long as everyone respects physical distancing rules, etc.",I have not experienced life on Campus or ever set foot there; I am excited to experience real student life but want everyone to take precautions too!
21-24,Faculty of Science and Technology,3rd Year or Final Year,"Comfortable, as long as everyone respects physical distancing rules, etc.","With the measures put in place before campus had to close entirely (sanitizer, separator screens, etc.) I think it would be fine."
21-24,Faculty of Science and Technology,3rd Year or Final Year,"Comfortable, as long as everyone respects physical distancing rules, etc.",If it is like prior to Christmas where there are only a few classes on campus that would be good. 
Under 21,Faculty of Media and Communication,2nd Year,"Very comfortable, I can’t wait to get back",I have missed the social aspect. Ive found online learning very difficult and really benefit from face to face teaching 
Under 21,Faculty of Media and Communication,1st Year (including Foundation year),"Comfortable, as long as everyone respects physical distancing rules, etc.","I’m very eager to go back, I am also just hyper aware of people forgetting to distance & in order to stay at uni and avoid another lockdown we all need to try and do our part "
21-24,The Business School/Faculty of Management,3rd Year or Final Year,"Comfortable, as long as everyone respects physical distancing rules, etc.",I would not see a problem with people going back into lectures as long as people were being careful as I think it is important for our learning
Under 21,Faculty of Science and Technology,Placement Year,"Very comfortable, I can’t wait to get back",I am fully vaccinated so feel little concern for catching the virus 
Under 21,Faculty of Media and Communication,1st Year (including Foundation year),"Not at all comfortable, I have serious concerns","I won't be returning to campas based on what was said after an email sent out. I haven't even been back on campus yet but based on attitudes in our group chat and how people behaved at the beginning of the year, social distanceing wasn't observed, there's no guarantee people will be wearing masks at all time. It probably sounds bad but I don't trust my fellow students and I just don't trust anyone at this point. I'm having extreme anxiety about going back to something that appears normal, even going outside for things like food I find overwhelming. We won't be getting the vaccine until June and because people will still meet and not follow social distancing despite the rules, it puts students at risk. Additionally, if I were to return to campus, I would have to face the risk of passing a virus to two of my flatmates who are deemed vulnerable and I couldn't return to campus in good conscience knowing I could be putting them at risk. There's no vaccine available for students yet. With the talk of a booster vaccine and COVID being seasonal on the news, I want to continue wearing a face mask even when things are deemed 'normal' and there is a certain campus return. Again it probably sounds stupid but I am concerned people will make comments or will tell me I need to take the mask off and I don't feel like I'll be comfortable doing so. I've been doing online education for a year now, I'm probably more anxious, paranoid and depressed than ever and I don't believe a campus return will easily alleviate those feelings and if anything gives me additional stress and anxiety over the entire situation. I don't know many people on my course that I'd consider friends, I lack a support network and in general I just feel terrified about going back to campus."
25-29,The Business School/Faculty of Management,3rd Year or Final Year,"Very comfortable, I can’t wait to get back","Have missed normal uni life, but it’s unlikely I’ll come back to campus before my year is over!"
21-24,Faculty of Science and Technology,3rd Year or Final Year,"Somewhat comfortable, but I have some concerns","I still have concerns about COVID considering most of us probably won’t be vaccinated until after this academic year ends but not only that, after spending the entire year online after having a placement year, i literally know no one on my course anymore (because they didn’t do placement so finished last year) so i’d feel uncomfortable going in in person with no mates "
21-24,Faculty of Media and Communication,Post-Graduate (non-doctorate),"Comfortable, as long as everyone respects physical distancing rules, etc.",
Under 21,Faculty of Science and Technology,1st Year (including Foundation year),"Somewhat comfortable, but I have some concerns","I would be concerned about accommodation because I participated in lectures and seminars from my home town,  which is quite far from Bournemouth. Therfore I don't know if finding accommodation at such short notice at a good price point would be possible. "
Under 21,Faculty of Media and Communication,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back",I miss seeing people and I would feel better if I’m surrounded by other students 
Under 21,Faculty of Science and Technology,2nd Year,"Very comfortable, I can’t wait to get back",
21-24,Faculty of Science and Technology,2nd Year,"Somewhat comfortable, but I have some concerns",Worried about coming back to campus and mixing with others during lectures 
21-24,Faculty of Health and Social Sciences,2nd Year,"Very comfortable, I can’t wait to get back",Can’t wait to get back and socialise whilst maintaining social distance and safety measures 
21-24,Faculty of Health and Social Sciences,2nd Year,"Comfortable, as long as everyone respects physical distancing rules, etc.",I’m eager to return to the classroom teaching environment and believe that’s the majorities opinion so I would hope everyone would respect the rules in place to allow that to happen and continued doing so
21-24,Faculty of Media and Communication,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back",
Under 21,Faculty of Health and Social Sciences,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back","I feel that it doesnt make sense that university students have been forced to do online learning when schools have not. I believe universities could have taken the same steps as schools and colleges. I am really looking forward to going onto campus as I am a first year and haven't experienced it yet, I am also vaccinated and understand by the time campus will open many other students will be too, therefore it will be a more comfortable learning environment."
25-29,Faculty of Science and Technology,3rd Year or Final Year,"Very comfortable, I can’t wait to get back","The stats have been knowingly manipulated and it just begs the question of why. Just ready to move forward. The university has dealt with the situation very well but unfortunately online learning was never going to give students value for money. We've learned a lot from it in terms of how we can be more sustainable, which is great, but it's just time to get back to campus and give students the full range of opportunities they've paid for but haven't recieved. "
21-24,Faculty of Health and Social Sciences,2nd Year,"Comfortable, as long as everyone respects physical distancing rules, etc.",I’m eager to return to the classroom teaching environment and believe that’s the majorities opinion so I would hope everyone would respect the rules in place to allow that to happen and continued doing so
21-24,NCCA,2nd Year,"Very comfortable, I can’t wait to get back",I hope international students get supported more
Under 21,Faculty of Science and Technology,Placement Year,"Comfortable, as long as everyone respects physical distancing rules, etc.",Excited to get back if safety measures are effectively in place 
21-24,The Business School/Faculty of Management,3rd Year or Final Year,"Very comfortable, I can’t wait to get back","Already lost over a year of in person studying, i'd love to be able to finish my degree being surrounded by course mates of 4 years and be able to see and meet some of my lecturers. i learn alot better face to face and would love to just experience proper uni for one final time"
21-24,Faculty of Science and Technology,2nd Year,"Somewhat comfortable, but I have some concerns","A lot of mixed households, could start a wave and spread around campus "
21-24,Faculty of Science and Technology,3rd Year or Final Year,"Somewhat comfortable, but I have some concerns","I’m concerned because I don’t want to go into another lockdown, when we come back I’d love for it to just be normal, and if it can’t be then we should wait longer. I’m also an ambivert but since lockdown I’ve become more introverted and the idea of being around lots of people feels intimidating. If there’s an understanding of this when coming back, then that would be great. I would also absolutely love to get to celebrate graduation. I miss my friends and being able to learn in person but my grades have improved since learning online, so for me, this is better. "
21-24,Faculty of Science and Technology,3rd Year or Final Year,"Very comfortable, I can’t wait to get back",I am excited for all the uni buildings to open again and for lectures to be on campus. I miss being in uni and struggle being at home online all the time. 
21-24,The Business School/Faculty of Management,Placement Year,"Comfortable, as long as everyone respects physical distancing rules, etc.","I’m keen to get back and learn on campus, as long as it’s in the interest of everyone’s safety. But the thought of online learning after a year of working virtually is soul sucking."
21-24,The Business School/Faculty of Management,Placement Year,"Comfortable, as long as everyone respects physical distancing rules, etc.","I would like to get back as soon as I can when I return in September, as I am currently on placement. I wouldn;'t mind wearing masks etc as long as it means I can receive in person teaching."
Under 21,Faculty of Health and Social Sciences,1st Year (including Foundation year),"Comfortable, as long as everyone respects physical distancing rules, etc.",
Under 21,Faculty of Science and Technology,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back",
25-29,Faculty of Science and Technology,Post-Graduate (non-doctorate),"Comfortable, as long as everyone respects physical distancing rules, etc.",Online course 
30-39,Faculty of Science and Technology,Post-Graduate (non-doctorate),"Very comfortable, I can’t wait to get back",This will enable us to engage more with other students and increase interactions
Under 21,Faculty of Science and Technology,2nd Year,"Comfortable, as long as everyone respects physical distancing rules, etc.",i don't mid coming back
25-29,Faculty of Science and Technology,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back","as archaeology has practical aspects, its really important for us to get back  so we can do the field work and use the labs"
Under 21,Faculty of Science and Technology,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back",I am really looking forward to on campus practicals.
30-39,The Business School/Faculty of Management,Post-Graduate (non-doctorate),"Somewhat comfortable, but I have some concerns","I know it's impossible to control people, especially students. I am concerned about those people who do not care about the rules."
21-24,Faculty of Science and Technology,3rd Year or Final Year,"Comfortable, as long as everyone respects physical distancing rules, etc.",Would be nice to use facilities although so late in the academic year that it wouldn't matter much either way
21-24,The Business School/Faculty of Management,Placement Year,"Somewhat comfortable, but I have some concerns",I want to be back on campus for my final year but am concerned of going back to my accommodation alone and not getting to go onto campus to socialise with others. 
21-24,Faculty of Science and Technology,Post-Graduate (non-doctorate),"Very comfortable, I can’t wait to get back",
21-24,Faculty of Media and Communication,3rd Year or Final Year,"Comfortable, as long as everyone respects physical distancing rules, etc.",
21-24,Faculty of Health and Social Sciences,3rd Year or Final Year,"Very comfortable, I can’t wait to get back",The facilities on campus make doing my studies far less stressful.
Under 21,Faculty of Media and Communication,1st Year (including Foundation year),"Somewhat comfortable, but I have some concerns",I feel anxious to be mixing with a very large amount of people since we have been distancing ourselves for a very long time. 
Under 21,Faculty of Health and Social Sciences,1st Year (including Foundation year),"Comfortable, as long as everyone respects physical distancing rules, etc.",
50+,Faculty of Media and Communication,PhD or equivalent,"Comfortable, as long as everyone respects physical distancing rules, etc.",All students should remain cautious
Under 21,Faculty of Media and Communication,2nd Year,"Comfortable, as long as everyone respects physical distancing rules, etc.",I am eager to socialise in person and most importantly use the equipment that we haven’t been able to access this year
Under 21,Faculty of Science and Technology,1st Year (including Foundation year),"Comfortable, as long as everyone respects physical distancing rules, etc.","I'm mostly comfortable because I've had the first dose of the vaccine, however if I hadn't, I know that I definitely wouldn't want to be going onto campus"
Under 21,Faculty of Health and Social Sciences,1st Year (including Foundation year),"Comfortable, as long as everyone respects physical distancing rules, etc.",I feel it is necessary for some students to be able to go back due to the nature of their course however feel they need to still respect the government guidelines to avoid an increase in cases within the uni 
30-39,Faculty of Science and Technology,1st Year (including Foundation year),"Comfortable, as long as everyone respects physical distancing rules, etc.","As there is still risk of infection it is important that everyone understands keeping safe distance, washing hands and wearing masks. "
Under 21,Faculty of Health and Social Sciences,2nd Year,"Very comfortable, I can’t wait to get back",I can’t wait to be among other people on my course and take advantage of the facilities again!
21-24,Faculty of Science and Technology,3rd Year or Final Year,"Comfortable, as long as everyone respects physical distancing rules, etc.","If the appropriate measures are in place, and masks are worn I feel comfortable. But there needs to be enforcement of these rules with repercussions if they are flouted. "
21-24,Faculty of Health and Social Sciences,3rd Year or Final Year,"Very comfortable, I can’t wait to get back",
30-39,Faculty of Health and Social Sciences,2nd Year,"Comfortable, as long as everyone respects physical distancing rules, etc.",I just want to get back but obviously there still is an element of fear.
